url,kind,title,local_path,bytes,dynamic
https://www.worldministries.org/about.aspx,html,,pages/about.html,40682,false
https://www.worldministries.org/all-prophecies.aspx,html,,pages/all-prophecies.html,166694,false
https://www.worldministries.org/compassion-in-action.aspx,html,,pages/compassion-in-action.html,112508,false
https://www.worldministries.org/contact.aspx,html,,pages/contact.html,39187,false
https://www.worldministries.org/donate.aspx,html,,pages/donate.html,43162,false
https://www.worldministries.org/dr-hansens-bio.aspx,html,,pages/dr-hansens-bio.html,54241,false
https://www.worldministries.org/eagles-saving-nations-membership.aspx,html,,pages/eagles-saving-nations-membership.html,55532,false
https://www.worldministries.org/eagles-saving-nations-mission.aspx,html,,pages/eagles-saving-nations-mission.html,35473,false
https://www.worldministries.org/eagles-saving-nations-vision.aspx,html,,pages/eagles-saving-nations-vision.html,38041,false
https://www.worldministries.org/esn-statement-of-faith.aspx,html,,pages/esn-statement-of-faith.html,35550,false
https://www.worldministries.org/events.aspx,html,,pages/events.html,33827,false
https://www.worldministries.org/,html,,pages/index.html,107032,false
https://www.worldministries.org/intercessor-application-form.aspx,html,,pages/intercessor-application-form.html,40835,false
https://www.worldministries.org/intercessors.aspx,html,,pages/intercessors.html,37206,false
https://www.worldministries.org/international-itinerary.aspx,html,,pages/international-itinerary.html,139710,false
https://www.worldministries.org/listen-to-warning.aspx,html,,pages/listen-to-warning.html,34134,false
https://www.worldministries.org/prayer-3.aspx,html,,pages/prayer-3.html,34918,false
https://www.worldministries.org/prayer-requests.aspx,html,,pages/prayer-requests.html,38611,false
https://www.worldministries.org/radio-broadcasts.aspx,html,,pages/radio-broadcasts.html,34662,false
https://www.worldministries.org/radio-stations.aspx,html,,pages/radio-stations.html,48359,false
https://www.worldministries.org/reading.aspx,html,,pages/reading.html,191034,false
https://www.worldministries.org/shortwave-broadcasts.aspx,html,,pages/shortwave-broadcasts.html,34581,false
https://www.worldministries.org/soldiers-of-the-cross.aspx,html,,pages/soldiers-of-the-cross.html,110293,false
https://www.worldministries.org/standards-of-conduct.aspx,html,,pages/standards-of-conduct.html,49319,false
https://www.worldministries.org/statement-of-faith.aspx,html,,pages/statement-of-faith.html,40987,false
https://www.worldministries.org/testimonials.aspx,html,,pages/testimonials.html,36055,false
https://www.worldministries.org/the-dorcas-fund-articles.aspx,html,,pages/the-dorcas-fund-articles.html,43011,false
https://www.worldministries.org/the-overcoming-women.aspx,html,,pages/the-overcoming-women.html,35160,false
https://www.worldministries.org/thought-for-the-day.aspx,html,,pages/thought-for-the-day.html,133137,false
https://www.worldministries.org/tv-broadcasts.aspx,html,,pages/tv-broadcasts.html,34726,false
https://www.worldministries.org/tv-channels.aspx,html,,pages/tv-channels.html,40041,false
https://www.worldministries.org/united-states-itinerary.aspx,html,,pages/united-states-itinerary.html,287731,false
https://www.worldministries.org/watch-warning.aspx,html,,pages/watch-warning.html,40338,false
https://www.worldministries.org/what-is-a-prophet.aspx,html,,pages/what-is-a-prophet.html,115251,false
https://www.worldministries.org/wmi-orientation-2.aspx,html,,pages/wmi-orientation-2.html,34825,false
https://www.worldministries.org/wmi-orientation.aspx,html,,pages/wmi-orientation.html,35482,false
https://www.worldministries.org/wmi-school-of-theology.aspx,html,,pages/wmi-school-of-theology.html,39919,false
(sample dynamic article),sample,,pages/samples/reading__sample_e2e517895e.html,49704,true
